Nombre,Popularidad,Valoración,Plataforma,Desarrollador,Género,Jugadores,Lanzamiento,Precio
Gurumin,Notable,5.0,PC,Falcom,Acció,1,30 de marzo de 2015,0.0
Blue Estate Prologu,Notable,6.2,PC,HeSaw,Acció,,15 de octubre de 2013,0.0
Tiny Brains,Notable,8.4,PC,Spearhead Gam,Otros,1-4,29 de noviembre de 2013,0.0
Angry Birds Spac,Notable,8.2,PC,Rovi,Otros,,22 de marzo de 2012,0.0
RiotZon,Notable,6.2,PC,Mail.Ru Gam,Acció,Masivo,2012,0.0
Urban Brawl,Notable,5.6,PC,Scuba Stev,Acció,1,Por determinar en España,0.0
Yono and the Celestial Elephants,Notable,7.0,PC,Neckbolt Gam,Otros,1,12 de octubre de 2017,0.0
PixelJunk Eden,Notable,6.0,PC,Q-Gam,Acció,1-3,24 de diciembre de 2013,0.0
Uurnog Uurnlimited,Notable,7.0,PC,Nifflas' Gam,Acció,1-2,16 de noviembre de 2017,0.0
The Maw,Notable,5.6,PC,Twisted Pix,Acció,1,21 de enero de 2009,0.0
"""Nombre:Slow Down",Notable,0.0,PC,Insomniac Gam,Acció,1,20 de abril de 2015,0.0
Mallow Drops,Notable,0.0,PC,Gritfish,Acció,1,3 de noviembre de 2016,0.0
Sam Sued,Notable,9.0,PC,Icarus Studi,Acció,,Por determinar en Españ,0.0
Climb to the Top of the Castl,Notable,9.0,PC,Two Bros. Gam,Acció,1,Por determinar en Españ,0.0
TriBlast,Notable,0.0,PC,Oefun,Acció,1,1 de julio de 2014,0.0
Red Game Without A Great Na,Notable,8.0,PC,Fun4all Ltd.,Acció,1,9 de diciembre de 2015,0.0
The Legend of Vraz,Notable,4.8,PC,Robot Entertainment,Acció,,Por determinar en Españ,0.0
Forced 2: The Rush,Notable,9.0,PC,BetaDwarf,Rol,,2015,0.0
Mighty Switch Force: Hyper Driv,Notable,5.5,PC,WayForw,Otros,1,Junio de 2015,0.0
Echoplex,Notable,0.0,PC,Output Gam,Acció,1,2º trimestre de 2018,0.0
Chuck's Challeng,Notable,8.0,PC,Niffler Lt,Otros,,8 de noviembre de 2013,0.0
Bacteriu,Notable,5.5,PC,gon Whisp,Acció,1,Por determinar en Españ,0.0
The Floor Is Jelly,Notable,8.5,PC,Ian Sny,Acció,1,30 de enero de 2014,0.0
Totally Spies!,Notable,6.3,PC,UbiSoft,Acció,,Diciembre de 2007,19.95
Bad Piggies,Notable,9.5,PC,Rovi,Otros,1,Por determinar en España,0.0
Wild Su,Notable,6.8,PC,Novaram,Acció,,2007,0.0
Star Wars Jedi: Fallen Ord,Notable,8.4,PC,Respawn Entertainment,Acció,1,15 de noviembre de 2019,19.99
Adventures of Pip,Notable,0.0,PC,TicToc Gam,Acció,1,4 de junio de 2015,0.0
Rogue Company,Notable,7.3,PC,First Watch Gam,Acció,Cooperativo:,Por determinar en Españ,0.0
Penga,Notable,1.0,PC,Rogue Fact,Acció,1,2016,0.0
ReVen,Notable,9.5,PC,Varia Gam,Acció,1,Por determinar en Españ,0.0
Bad Bots,Notable,6.5,PC,igital Tribes Gam,Acció,1,17 de mayo de 2013,0.0
Flywrench,Notable,9.5,PC,Messhof,Acció,1,24 de agosto de 2015,0.0
Draw Slash,Notable,0.0,PC,Gamelion Studi,Acció,1,13 de octubre de 2016,0.0
A Reckless Disregard for Gravity,Notable,5.6,PC,jobaan Gam,Acción,,3 de septiembre de 2009,0.0
Cello Fortress,Notable,0.0,PC,Joost Van Dongen,Otros,,Por determinar en Españ,0.0
La,Notable,0.0,PC,Léo-Gam,Acció,1,9 de febrero de 2017,0.0
Jotun,Notable,8.0,PC,Thunder Lotus Gam,Acció,1,29 de septiembre de 2015,0.0
Privates,Notable,6.7,PC,Zombie Cow Studi,Acció,,11 de agosto de 2010,0.0
UNO,Notable,9.0,PC,Gameloft,Otros,1-4,4 de enero de 2017,0.0
The Puppet Mast,Notable,8.5,PC,AMS Game Development Association,Otros,1,22 de octubre de 2016,0.0
The Silver Lining - Episode 2,Notable,7.1,PC,Phoenix Online Studi,Acció,,18 de septiembre de 2010,0.0
Castle Invasion: Throne Out,Notable,5.0,PC,Cat Trap Studi,Acció,1,27 de julio de 2016,0.0
